year,state,dtype,agegr,count,pop,age,legal,mrate
1970,1,all,18-20 yrs,292,189770,18.96999,0,153.87047
1971,1,all,18-20 yrs,316,195623,18.972181,0,161.5352
1972,1,all,18-20 yrs,320,200988,18.974701,0,159.21349
1973,1,all,18-20 yrs,291,206550,18.97023,0,140.88599
1974,1,all,18-20 yrs,306,213839,18.980139,0,143.09831
1975,1,all,18-20 yrs,326,220358,18.981335,.29399541,147.94107
1976,1,all,18-20 yrs,299,225486,18.9891,.66507012,132.60246
1977,1,all,18-20 yrs,332,227667,18.998507,.66846752,145.82703
1978,1,all,18-20 yrs,317,228472,18.995041,.66718459,138.74785
1979,1,all,18-20 yrs,309,228193,18.994711,.66809237,135.4117
1980,1,all,18-20 yrs,276,229794,19.002462,.67225862,120.10757
1981,1,all,18-20 yrs,242,228575,19.018663,.67920816,105.87334
1982,1,all,18-20 yrs,266,224838,19.015207,.67590886,118.3074
1983,1,all,18-20 yrs,283,220830,19.01705,.67963141,128.15288
1970,2,all,18-20 yrs,53,17798,19.147377,.2415109,297.78625
1971,2,all,18-20 yrs,47,18872,19.057652,.70008481,249.0462
1972,2,all,18-20 yrs,42,20860,19.068647,.7017737,201.34229
1973,2,all,18-20 yrs,51,22646,19.082354,.70670319,225.20534
1974,2,all,18-20 yrs,56,23430,19.086214,.70874947,239.00981
1975,2,all,18-20 yrs,60,25601,19.077536,.7029413,234.36584
1976,2,all,18-20 yrs,80,27064,19.079479,.70821017,295.59561
1977,2,all,18-20 yrs,70,26808,19.104408,.71833032,261.11609
1978,2,all,18-20 yrs,76,25774,19.113214,.72185147,294.87079
1979,2,all,18-20 yrs,65,19585,18.915854,.63992852,331.88666
1980,2,all,18-20 yrs,51,23291,19.044224,.69095361,218.9687
1981,2,all,18-20 yrs,49,24042,18.983736,.65934616,203.81
1982,2,all,18-20 yrs,56,25953,18.999075,.67741686,215.77467
1983,2,all,18-20 yrs,59,27808,19.051281,.69806993,212.16916
1970,4,all,18-20 yrs,178,96759,18.982018,0,183.96222
1971,4,all,18-20 yrs,218,105461,18.997042,0,206.71149
1972,4,all,18-20 yrs,220,113360,18.993376,.27738747,194.07198
1973,4,all,18-20 yrs,276,121437,18.99338,.66499501,227.27834
1974,4,all,18-20 yrs,277,128943,19.001745,.66773689,214.82361
1975,4,all,18-20 yrs,245,134398,18.993624,.66324645,182.29437
1976,4,all,18-20 yrs,235,139527,19.002207,.67162627,168.42618
1977,4,all,18-20 yrs,249,144142,19.020132,.67878205,172.74632
1978,4,all,18-20 yrs,278,147718,19.021717,.67937559,188.19643
1979,4,all,18-20 yrs,297,153888,19.019676,.67866242,192.9975
1980,4,all,18-20 yrs,248,159704,19.023581,.68303233,155.28728
1981,4,all,18-20 yrs,212,159406,19.032043,.684717,132.99374
1982,4,all,18-20 yrs,220,158750,19.024618,.68108976,138.58267
1983,4,all,18-20 yrs,197,158134,19.031719,.68719566,124.57789
1970,5,all,18-20 yrs,166,98829,18.949631,0,167.96689
1971,5,all,18-20 yrs,166,102027,18.975065,0,162.70203
1972,5,all,18-20 yrs,206,105761,18.973988,0,194.77879
1973,5,all,18-20 yrs,181,108007,18.961632,0,167.58173
1974,5,all,18-20 yrs,135,112858,18.979017,0,119.61935
1975,5,all,18-20 yrs,175,117492,18.97571,0,148.9463
1976,5,all,18-20 yrs,163,118556,18.981966,0,137.48776
1977,5,all,18-20 yrs,135,121047,18.992002,0,111.52692
1978,5,all,18-20 yrs,173,122197,18.990196,0,141.57468
1979,5,all,18-20 yrs,168,123179,18.989843,0,136.38689
1980,5,all,18-20 yrs,173,125804,18.991383,0,137.5155
1981,5,all,18-20 yrs,122,127239,18.997438,0,95.882553
1982,5,all,18-20 yrs,156,127345,19.000957,0,122.50186
1983,5,all,18-20 yrs,139,126123,19.02014,0,110.20988
1970,6,all,18-20 yrs,1661,1067922,19.005005,0,155.53571
1971,6,all,18-20 yrs,1615,1127057,18.996286,0,143.29355
1972,6,all,18-20 yrs,1748,1168339,19.001753,0,149.61411
1973,6,all,18-20 yrs,1688,1207953,19.017012,0,139.74054
1974,6,all,18-20 yrs,1631,1230473,19.017159,0,132.55066
1975,6,all,18-20 yrs,1641,1263879,19.008333,0,129.83838
1976,6,all,18-20 yrs,1641,1296096,19.015434,0,126.61099
1977,6,all,18-20 yrs,1801,1318737,19.030666,0,136.57007
1978,6,all,18-20 yrs,1806,1332480,19.029856,0,135.53674
1979,6,all,18-20 yrs,1893,1354455,19.021545,0,139.76102
1980,6,all,18-20 yrs,1892,1366049,19.025145,0,138.50162
1981,6,all,18-20 yrs,1656,1368730,19.031979,0,120.98807
1982,6,all,18-20 yrs,1486,1358902,19.034954,0,109.35299
1983,6,all,18-20 yrs,1369,1340831,19.049372,0,102.10086
1970,8,all,18-20 yrs,207,131830,18.999325,1,157.0204
1971,8,all,18-20 yrs,181,139867,19.003761,1,129.40865
1972,8,all,18-20 yrs,242,149614,19.006123,1,161.74957
1973,8,all,18-20 yrs,229,158029,19.014706,1,144.91011
1974,8,all,18-20 yrs,213,161336,19.015867,1,132.02261
1975,8,all,18-20 yrs,209,165031,19.006029,1,126.64288
1976,8,all,18-20 yrs,218,168889,19.013998,1,129.07886
1977,8,all,18-20 yrs,204,171776,19.024572,1,118.75932
1978,8,all,18-20 yrs,236,173784,19.024525,1,135.80077
1979,8,all,18-20 yrs,244,177454,19.018427,1,137.50043
1980,8,all,18-20 yrs,206,175322,19.028399,1,117.49809
1981,8,all,18-20 yrs,217,172359,19.045296,1,125.90001
1982,8,all,18-20 yrs,204,168001,19.038834,1,121.42785
1983,8,all,18-20 yrs,180,162919,19.040394,1,110.48435
1970,9,all,18-20 yrs,135,142939,18.969988,0,94.445885
1971,9,all,18-20 yrs,150,150696,18.968361,0,99.538139
1972,9,all,18-20 yrs,112,156438,18.982735,.25205478,71.593857
1973,9,all,18-20 yrs,177,159831,18.986624,1,110.74197
1974,9,all,18-20 yrs,139,162466,18.991278,1,85.556366
1975,9,all,18-20 yrs,172,166202,18.987263,1,103.48853
1976,9,all,18-20 yrs,143,168736,18.986826,1,84.747772
1977,9,all,18-20 yrs,154,170196,18.999723,1,90.48391
1978,9,all,18-20 yrs,177,168917,19.012669,1,104.78519
1979,9,all,18-20 yrs,207,168046,19.003689,1,123.18056
1980,9,all,18-20 yrs,189,169024,18.994598,1,111.81844
1981,9,all,18-20 yrs,170,172858,18.996569,1,98.346619
1982,9,all,18-20 yrs,171,174684,18.997889,.83338904,97.891052
1983,9,all,18-20 yrs,135,175302,19.016018,.67959863,77.009956
1970,10,all,18-20 yrs,36,28478,18.952875,0,126.41337
1971,10,all,18-20 yrs,28,31708,18.962597,0,88.305794
1972,10,all,18-20 yrs,40,34272,18.980713,.16134389,116.71335
1973,10,all,18-20 yrs,45,35792,18.988741,.32588288,125.72642
1974,10,all,18-20 yrs,35,36996,18.989458,.32573792,94.60482
1975,10,all,18-20 yrs,35,38429,18.983215,.3236618,91.077049
1976,10,all,18-20 yrs,48,39317,18.990971,.32357505,122.08459
1977,10,all,18-20 yrs,32,39451,19.001825,.33188006,81.113281
1978,10,all,18-20 yrs,51,39200,19.00602,.33196428,130.10204
1979,10,all,18-20 yrs,29,38894,18.997892,.33138788,74.56163
1980,10,all,18-20 yrs,48,37602,19.008139,.33141854,127.65279
1981,10,all,18-20 yrs,35,37069,19.03882,.34862015,94.418518
1982,10,all,18-20 yrs,45,36025,19.034115,.3490909,124.91325
1983,10,all,18-20 yrs,23,35183,19.035841,.34485406,65.372482
1970,11,all,18-20 yrs,100,46360,19.048857,1,215.70319
1971,11,all,18-20 yrs,95,44698,19.052753,1,212.53748
1972,11,all,18-20 yrs,96,44661,19.025951,1,214.95264
1973,11,all,18-20 yrs,69,44998,19.010801,1,153.34015
1974,11,all,18-20 yrs,58,45126,19.006824,1,128.52901
1975,11,all,18-20 yrs,70,45582,19.002041,1,153.5694
1976,11,all,18-20 yrs,50,45960,18.998672,1,108.79025
1977,11,all,18-20 yrs,65,45605,18.997763,1,142.52823
1978,11,all,18-20 yrs,37,45461,18.995205,1,81.388443
1979,11,all,18-20 yrs,50,44710,18.995617,1,111.8318
1980,11,all,18-20 yrs,42,40707,19.04385,1,103.17636
1981,11,all,18-20 yrs,63,38635,19.107622,1,163.06458
1982,11,all,18-20 yrs,43,35701,19.080475,1,120.44481
1983,11,all,18-20 yrs,58,33770,19.054575,1,171.75008
1970,12,all,18-20 yrs,493,323676,18.981676,0,152.31281
1971,12,all,18-20 yrs,510,345911,18.989265,0,147.43677
1972,12,all,18-20 yrs,638,370912,18.988604,0,172.00845
1973,12,all,18-20 yrs,672,396593,18.984562,.50410956,169.44324
1974,12,all,18-20 yrs,688,426586,18.993891,1,161.28049
1975,12,all,18-20 yrs,630,443600,18.991884,1,142.01984
1976,12,all,18-20 yrs,550,453381,18.99921,1,121.31078
1977,12,all,18-20 yrs,598,460795,19.01095,1,129.77571
1978,12,all,18-20 yrs,622,465321,19.010368,1,133.67116
1979,12,all,18-20 yrs,741,476701,19.008633,1,155.44334
1980,12,all,18-20 yrs,805,498326,19.009193,.91914165,161.54083
1981,12,all,18-20 yrs,758,513419,19.013994,.67523211,147.6377
1982,12,all,18-20 yrs,694,519319,19.01194,.67583317,133.63655
1983,12,all,18-20 yrs,606,522805,19.028633,.68552709,115.9132
1970,13,all,18-20 yrs,458,260127,19.005751,0,176.06784
1971,13,all,18-20 yrs,471,269580,18.984446,0,174.71623
1972,13,all,18-20 yrs,538,280212,18.983959,.50410956,191.99748
1973,13,all,18-20 yrs,450,291705,18.988787,1,154.26544
1974,13,all,18-20 yrs,482,300027,18.992973,1,160.65221
1975,13,all,18-20 yrs,400,306942,18.990034,1,130.31778
1976,13,all,18-20 yrs,395,313648,18.99687,1,125.93736
1977,13,all,18-20 yrs,431,317728,19.002586,1,135.65062
1978,13,all,18-20 yrs,411,318453,18.998068,1,129.06143
1979,13,all,18-20 yrs,428,322393,18.996742,1,132.75722
1980,13,all,18-20 yrs,454,323668,19.002296,.89153111,140.26718
1981,13,all,18-20 yrs,422,326753,19.015005,.67715061,129.14954
1982,13,all,18-20 yrs,324,326647,19.015841,.67744994,99.189644
1983,13,all,18-20 yrs,331,324875,19.023304,.68257636,101.88534
1970,15,all,18-20 yrs,48,44468,19.067284,0,107.94279
1971,15,all,18-20 yrs,65,48760,19.044832,0,133.30598
1972,15,all,18-20 yrs,44,52993,19.061216,.83835614,83.029831
1973,15,all,18-20 yrs,61,57509,19.07291,1,106.07035
1974,15,all,18-20 yrs,50,58496,19.067337,1,85.475929
1975,15,all,18-20 yrs,51,59947,19.071814,1,85.07515
1976,15,all,18-20 yrs,72,60607,19.08489,1,118.79816
1977,15,all,18-20 yrs,61,60010,19.091768,1,101.64973
1978,15,all,18-20 yrs,60,59671,19.100283,1,100.55135
1979,15,all,18-20 yrs,84,59557,19.109962,1,141.04135
1980,15,all,18-20 yrs,66,58149,19.070286,1,113.50152
1981,15,all,18-20 yrs,67,56428,19.027132,1,118.73538
1982,15,all,18-20 yrs,65,55739,19.02702,1,116.61494
1983,15,all,18-20 yrs,50,55916,19.06422,1,89.419846
1970,16,all,18-20 yrs,66,38979,18.928089,.30331716,169.32195
1971,16,all,18-20 yrs,72,42159,18.935387,.29858392,170.78204
1972,16,all,18-20 yrs,78,45312,18.950697,.47672307,172.13983
1973,16,all,18-20 yrs,93,46651,18.960493,.65027547,199.35265
1974,16,all,18-20 yrs,68,48531,18.974407,.65479797,140.11662
1975,16,all,18-20 yrs,70,49655,18.970516,.65290505,140.97272
1976,16,all,18-20 yrs,85,50845,18.974825,.65674108,167.17474
1977,16,all,18-20 yrs,96,51814,18.980062,.65845138,185.27811
1978,16,all,18-20 yrs,75,52964,18.976984,.65716338,141.60562
1979,16,all,18-20 yrs,90,53777,18.973186,.65559626,167.35779
1980,16,all,18-20 yrs,78,54438,18.995022,.66977113,143.28227
1981,16,all,18-20 yrs,82,54051,19.022533,.68237406,151.70857
1982,16,all,18-20 yrs,40,52051,19.02536,.68127412,76.84771
1983,16,all,18-20 yrs,70,49818,19.023165,.68190211,140.51146
1970,17,all,18-20 yrs,751,561631,18.959393,0,133.7177
1971,17,all,18-20 yrs,767,586726,18.986282,0,130.72542
1972,17,all,18-20 yrs,694,600403,18.992748,0,115.58903
1973,17,all,18-20 yrs,877,608839,18.988617,.16642416,144.04465
1974,17,all,18-20 yrs,827,621288,18.993389,.66378719,133.11057
1975,17,all,18-20 yrs,837,637355,18.988091,.65890592,131.32399
1976,17,all,18-20 yrs,809,650918,18.989544,.66345376,124.28601
1977,17,all,18-20 yrs,860,661069,19.003851,.66943389,130.09232
1978,17,all,18-20 yrs,879,660531,19.007322,.67110097,133.07475
1979,17,all,18-20 yrs,789,659042,19.002548,.66772074,119.71923
1980,17,all,18-20 yrs,717,652692,19.007263,0,109.85273
1981,17,all,18-20 yrs,686,645606,19.016411,0,106.25676
1982,17,all,18-20 yrs,640,629544,19.019865,0,101.66088
1983,17,all,18-20 yrs,556,609238,19.028463,0,91.261543
1970,18,all,18-20 yrs,382,281817,18.957695,0,135.54895
1971,18,all,18-20 yrs,397,293825,18.969986,0,135.11444
1972,18,all,18-20 yrs,342,304902,18.984093,0,112.16719
1973,18,all,18-20 yrs,428,310580,18.988579,0,137.80669
1974,18,all,18-20 yrs,354,316079,18.997066,0,111.99731
1975,18,all,18-20 yrs,368,320335,18.987923,0,114.87974
1976,18,all,18-20 yrs,385,324431,18.987862,0,118.6693
1977,18,all,18-20 yrs,408,329260,19.003973,0,123.91423
1978,18,all,18-20 yrs,390,329699,19.006798,0,118.28971
1979,18,all,18-20 yrs,384,331034,18.997478,0,116.00017
1980,18,all,18-20 yrs,331,325012,19.00868,0,101.84239
1981,18,all,18-20 yrs,302,318064,19.027164,0,94.949448
1982,18,all,18-20 yrs,306,309365,19.017494,0,98.912285
1983,18,all,18-20 yrs,315,299907,19.023111,0,105.03256
1970,19,all,18-20 yrs,219,150575,18.930428,0,145.44247
1971,19,all,18-20 yrs,195,155910,18.974665,0,125.07216
1972,19,all,18-20 yrs,206,157171,18.987026,.4960146,131.06743
1973,19,all,18-20 yrs,191,156484,18.978361,.82981455,122.05721
1974,19,all,18-20 yrs,232,159176,18.983093,1,145.75061
1975,19,all,18-20 yrs,225,162791,18.979305,1,138.21404
1976,19,all,18-20 yrs,229,166809,18.983873,1,137.28276
1977,19,all,18-20 yrs,188,169333,18.994295,1,111.02384
1978,19,all,18-20 yrs,195,170753,18.995186,.9573912,114.20004
1979,19,all,18-20 yrs,194,172121,18.992331,.70684743,112.7114
1980,19,all,18-20 yrs,213,172858,19.007914,.67590159,123.22253
1981,19,all,18-20 yrs,180,168590,19.031448,.68563974,106.7679
1982,19,all,18-20 yrs,127,161446,19.027346,.68182552,78.66407
1983,19,all,18-20 yrs,159,153998,19.029612,.68652838,103.24809
1970,20,all,18-20 yrs,190,127923,18.984819,1,148.52686
1971,20,all,18-20 yrs,186,131559,18.98929,1,141.38144
1972,20,all,18-20 yrs,182,136067,18.991783,1,133.75763
1973,20,all,18-20 yrs,184,139256,18.996941,1,132.13075
1974,20,all,18-20 yrs,158,140132,19.00827,1,112.75083
1975,20,all,18-20 yrs,155,141594,19.004181,1,109.46792
1976,20,all,18-20 yrs,165,143259,19.005228,1,115.17601
1977,20,all,18-20 yrs,203,144571,19.019728,1,140.41544
1978,20,all,18-20 yrs,184,144245,19.018927,1,127.56075
1979,20,all,18-20 yrs,190,144932,19.011654,1,131.09596
1980,20,all,18-20 yrs,188,142146,19.0317,1,132.25838
1981,20,all,18-20 yrs,167,137921,19.048056,1,121.08381
1982,20,all,18-20 yrs,136,132108,19.041534,1,102.94608
1983,20,all,18-20 yrs,144,126871,19.051241,1,113.50111
1970,21,all,18-20 yrs,273,186231,18.982231,0,146.59213
1971,21,all,18-20 yrs,251,192080,19.00794,0,130.67471
1972,21,all,18-20 yrs,264,190349,18.987827,0,138.69261
1973,21,all,18-20 yrs,277,194349,18.982954,0,142.5271
1974,21,all,18-20 yrs,248,200733,18.990784,0,123.5472
1975,21,all,18-20 yrs,271,206479,18.987244,0,131.24821
1976,21,all,18-20 yrs,275,212990,18.98922,0,129.11404
1977,21,all,18-20 yrs,288,216016,19.001625,0,133.32346
1978,21,all,18-20 yrs,290,216465,19.001387,0,133.97086
1979,21,all,18-20 yrs,277,217118,18.999626,0,127.58039
1980,21,all,18-20 yrs,293,218133,19.00695,0,134.32172
1981,21,all,18-20 yrs,258,216214,19.018162,0,119.32623
1982,21,all,18-20 yrs,220,212521,19.021875,0,103.51918
1983,21,all,18-20 yrs,239,207661,19.02964,0,115.09142
1970,22,all,18-20 yrs,341,213507,18.974216,1,159.71373
1971,22,all,18-20 yrs,314,219656,18.996777,1,142.95079
1972,22,all,18-20 yrs,336,222241,18.985264,1,151.18723
1973,22,all,18-20 yrs,401,226482,18.972355,1,177.05602
1974,22,all,18-20 yrs,358,233788,18.987463,1,153.13019
1975,22,all,18-20 yrs,373,243291,18.991081,1,153.31435
1976,22,all,18-20 yrs,367,246382,18.991911,1,148.95569
1977,22,all,18-20 yrs,408,252446,19.001097,1,161.61873
1978,22,all,18-20 yrs,427,256013,18.99859,1,166.78841
1979,22,all,18-20 yrs,416,259911,19.003151,1,160.05479
1980,22,all,18-20 yrs,421,263840,19.012678,1,159.56641
1981,22,all,18-20 yrs,393,263130,19.024603,1,149.35583
1982,22,all,18-20 yrs,353,261874,19.017447,1,134.79765
1983,22,all,18-20 yrs,353,257854,19.015982,1,136.89917
1970,23,all,18-20 yrs,75,52812,18.969704,.32286224,142.01318
1971,23,all,18-20 yrs,61,54278,18.967924,.31618702,112.38439
1972,23,all,18-20 yrs,80,56349,18.969919,.71818072,141.97235
1973,23,all,18-20 yrs,79,57624,18.97258,1,137.09566
1974,23,all,18-20 yrs,82,58840,18.984892,1,139.36098
1975,23,all,18-20 yrs,76,60323,18.975067,1,125.98843
1976,23,all,18-20 yrs,70,61987,18.970816,1,112.9269
1977,23,all,18-20 yrs,83,63633,18.983814,.86467397,130.43547
1978,23,all,18-20 yrs,91,63641,18.991106,.3268019,142.98958
1979,23,all,18-20 yrs,77,63871,18.984093,.32573467,120.5555
1980,23,all,18-20 yrs,96,64012,18.990751,.32457978,149.97188
1981,23,all,18-20 yrs,75,64725,19.002687,.33144844,115.87486
1982,23,all,18-20 yrs,57,63895,19.010361,.33484623,89.208855
1983,23,all,18-20 yrs,63,62693,19.020401,.33973491,100.48969
1970,24,all,18-20 yrs,258,198205,18.981934,0,130.16826
1971,24,all,18-20 yrs,291,214695,18.980204,0,135.54112
1972,24,all,18-20 yrs,286,224533,18.984568,0,127.37549
1973,24,all,18-20 yrs,306,232895,18.995375,0,131.38968
1974,24,all,18-20 yrs,330,236828,19.000824,.50410956,139.34163
1975,24,all,18-20 yrs,268,241210,18.99338,1,111.10651
1976,24,all,18-20 yrs,276,244601,18.992849,1,112.83682
1977,24,all,18-20 yrs,276,246096,19.008167,1,112.15135
1978,24,all,18-20 yrs,285,243407,19.014769,1,117.08784
1979,24,all,18-20 yrs,243,241050,19.007174,1,100.80896
1980,24,all,18-20 yrs,281,240174,19.001999,1,116.99851
1981,24,all,18-20 yrs,284,242688,18.997524,1,117.02268
1982,24,all,18-20 yrs,252,244012,18.999147,.95785904,103.27361
1983,24,all,18-20 yrs,220,243588,19.020948,.67795056,90.316437
1970,25,all,18-20 yrs,298,305591,18.979944,0,97.515961
1971,25,all,18-20 yrs,361,314630,18.993542,0,114.73795
1972,25,all,18-20 yrs,356,321488,18.994595,0,110.73508
1973,25,all,18-20 yrs,399,328926,18.995249,.83835614,121.30388
1974,25,all,18-20 yrs,364,334918,18.995674,1,108.68332
1975,25,all,18-20 yrs,328,342141,18.989496,1,95.866905
1976,25,all,18-20 yrs,331,348371,18.990992,1,95.013649
1977,25,all,18-20 yrs,309,352660,19.003326,1,87.619804
1978,25,all,18-20 yrs,330,351749,19.010607,1,93.816895
1979,25,all,18-20 yrs,368,352878,19.002153,.52463573,104.28533
1980,25,all,18-20 yrs,303,345779,19.013096,.33402261,87.628227
1981,25,all,18-20 yrs,294,341387,19.040442,.3502799,86.11927
1982,25,all,18-20 yrs,258,332451,19.029671,.3477926,77.605423
1983,25,all,18-20 yrs,256,326954,19.023108,.33995914,78.298477
1970,26,all,18-20 yrs,635,476588,18.947208,0,133.23877
1971,26,all,18-20 yrs,657,503159,18.971901,0,130.57503
1972,26,all,18-20 yrs,798,520287,18.981861,1,153.37689
1973,26,all,18-20 yrs,826,531811,18.984644,1,155.31834
1974,26,all,18-20 yrs,766,543737,18.991699,1,140.87694
1975,26,all,18-20 yrs,764,553499,18.984602,1,138.03096
1976,26,all,18-20 yrs,737,561056,18.990044,1,131.35944
1977,26,all,18-20 yrs,713,564797,19.008215,1,126.24004
1978,26,all,18-20 yrs,674,557771,19.014748,.969863,120.83812
1979,26,all,18-20 yrs,570,554076,19.005581,0,102.87398
1980,26,all,18-20 yrs,535,543470,19.006941,0,98.441498
1981,26,all,18-20 yrs,480,530656,19.01314,0,90.454079
1982,26,all,18-20 yrs,497,515521,19.007797,0,96.407326
1983,26,all,18-20 yrs,476,498427,19.01792,0,95.500443
1970,27,all,18-20 yrs,259,203827,18.938429,0,127.06854
1971,27,all,18-20 yrs,295,216827,18.961531,0,136.05316
1972,27,all,18-20 yrs,264,223956,18.981714,0,117.88029
1973,27,all,18-20 yrs,297,227035,18.988878,.58630139,130.81683
1974,27,all,18-20 yrs,294,229500,18.996557,1,128.10457
1975,27,all,18-20 yrs,295,233598,18.985806,1,126.28532
1976,27,all,18-20 yrs,299,238407,18.983133,.9809041,125.41578
1977,27,all,18-20 yrs,290,243001,18.993757,.73970717,119.34107
1978,27,all,18-20 yrs,331,244719,18.995167,.66628253,135.25717
1979,27,all,18-20 yrs,327,247917,18.992424,.66429085,131.89899
1980,27,all,18-20 yrs,279,246670,19.008097,.67593139,113.10658
1981,27,all,18-20 yrs,240,243670,19.021065,.67914391,98.493866
1982,27,all,18-20 yrs,191,235719,19.02355,.68179482,81.028679
1983,27,all,18-20 yrs,193,225481,19.035599,.68798703,85.594795
1970,28,all,18-20 yrs,214,130240,18.963337,1,164.31204
1971,28,all,18-20 yrs,221,133651,18.998571,1,165.35603
1972,28,all,18-20 yrs,224,136379,18.9851,1,164.24817
1973,28,all,18-20 yrs,252,141593,18.961121,1,177.9749
1974,28,all,18-20 yrs,202,146051,18.972702,1,138.30785
1975,28,all,18-20 yrs,186,149862,18.97904,1,124.11418
1976,28,all,18-20 yrs,201,151995,18.983553,1,132.2412
1977,28,all,18-20 yrs,216,153372,18.990742,1,140.83405
1978,28,all,18-20 yrs,228,154134,18.986195,1,147.92323
1979,28,all,18-20 yrs,201,153684,18.989933,1,130.78786
1980,28,all,18-20 yrs,230,156958,18.994558,1,146.53601
1981,28,all,18-20 yrs,215,158356,19.011202,1,135.77003
1982,28,all,18-20 yrs,195,157378,19.015657,1,123.9055
1983,28,all,18-20 yrs,192,154465,19.016132,1,124.3
1970,29,all,18-20 yrs,394,243679,18.960863,0,161.68813
1971,29,all,18-20 yrs,341,253868,18.983932,0,134.32178
